,상권코드,서비스업종코드명,점포수,유사업종점포수,개업점포수,폐업점포수,집객시설수,관공서수,은행수,버스정거장수,지하철수,약국수,총직장인구수,총상주인구수,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,분기당매출금액,시군구명
4247,2130148,커피-음료,4.0,7.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,3.0,60.0,1244.0,269748.0,125982.0,143766.0,39808.0,25822.0,30592,37123.0,47279.0,89124.0,63108,51027,32806.0,34526.0,51191.0,37089.0,39069,38764.0,37747.0,37042.0,38324.0,39527,39274,6490000.0,도봉구
4250,2130148,한식음식점,16.5,18.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,3.0,60.0,1244.0,269748.0,125982.0,143766.0,39808.0,25822.0,30592,37123.0,47279.0,89124.0,63108,51027,32806.0,34526.0,51191.0,37089.0,39069,38764.0,37747.0,37042.0,38324.0,39527,39274,14570000.0,도봉구
4266,2110018,커피-음료,16.5,19.5,0.0,0.0,13.0,1.0,0.0,7.0,0.0,0.0,888.0,2850.0,378199.0,189894.0,188303.0,60683.0,47473.0,65892,72476.0,62413.0,69262.0,71930,86588,66056.0,65436.0,54301.0,33888.0,53848,58166.0,57788.0,58500.0,57708.0,47490,44699,11820000.0,종로구
4269,2110270,중식음식점,1.0,1.0,0.0,0.0,10.0,1.0,1.0,2.0,0.0,0.0,168.0,1191.0,248904.0,115048.0,133856.0,36069.0,32751.0,33562,31777.0,46295.0,68448.0,77366,53427,25237.0,24077.0,34697.0,34102.0,36757,36297.0,36567.0,36257.0,36153.0,33183,33690,22730000.0,중랑구
4271,2110270,호프-간이주점,3.0,3.0,0.0,1.0,10.0,1.0,1.0,2.0,0.0,0.0,168.0,1191.0,248904.0,115048.0,133856.0,36069.0,32751.0,33562,31777.0,46295.0,68448.0,77366,53427,25237.0,24077.0,34697.0,34102.0,36757,36297.0,36567.0,36257.0,36153.0,33183,33690,8710000.0,중랑구
4272,2110270,한식음식점,10.0,10.0,0.0,1.0,10.0,1.0,1.0,2.0,0.0,0.0,168.0,1191.0,248904.0,115048.0,133856.0,36069.0,32751.0,33562,31777.0,46295.0,68448.0,77366,53427,25237.0,24077.0,34697.0,34102.0,36757,36297.0,36567.0,36257.0,36153.0,33183,33690,17080000.0,중랑구
4275,2120062,양식음식점,3.0,3.0,0.0,0.0,84.0,4.0,2.0,13.0,3.0,4.0,3061.5,3583.0,1323236.0,663351.0,659886.0,93039.0,287166.0,217209,199403.0,205067.0,313294.125,209191,293124,203338.5,205087.5,242487.0,130875.0,188803,195272.0,196606.0,196565.0,201495.0,177045,167449,9780000.0,동대문구
4276,2120062,중식음식점,8.0,9.0,0.0,0.0,84.0,4.0,2.0,13.0,3.0,4.0,3061.5,3583.0,1323236.0,663351.0,659886.0,93039.0,287166.0,217209,199403.0,205067.0,313294.125,209191,293124,203338.5,205087.5,242487.0,130875.0,188803,195272.0,196606.0,196565.0,201495.0,177045,167449,3960000.0,동대문구
4277,2120062,한식음식점,16.5,19.5,1.0,1.0,84.0,4.0,2.0,13.0,3.0,4.0,3061.5,3583.0,1323236.0,663351.0,659886.0,93039.0,287166.0,217209,199403.0,205067.0,313294.125,209191,293124,203338.5,205087.5,242487.0,130875.0,188803,195272.0,196606.0,196565.0,201495.0,177045,167449,22690000.0,동대문구
4280,2120062,호프-간이주점,16.5,19.0,1.0,1.0,84.0,4.0,2.0,13.0,3.0,4.0,3061.5,3583.0,1323236.0,663351.0,659886.0,93039.0,287166.0,217209,199403.0,205067.0,313294.125,209191,293124,203338.5,205087.5,242487.0,130875.0,188803,195272.0,196606.0,196565.0,201495.0,177045,167449,21580000.0,동대문구
4281,2120062,제과점,4.0,6.0,0.0,0.0,84.0,4.0,2.0,13.0,3.0,4.0,3061.5,3583.0,1323236.0,663351.0,659886.0,93039.0,287166.0,217209,199403.0,205067.0,313294.125,209191,293124,203338.5,205087.5,242487.0,130875.0,188803,195272.0,196606.0,196565.0,201495.0,177045,167449,27356250.0,동대문구
4282,2120062,육류판매,4.0,4.0,1.0,1.0,84.0,4.0,2.0,13.0,3.0,4.0,3061.5,3583.0,1323236.0,663351.0,659886.0,93039.0,287166.0,217209,199403.0,205067.0,313294.125,209191,293124,203338.5,205087.5,242487.0,130875.0,188803,195272.0,196606.0,196565.0,201495.0,177045,167449,27356250.0,동대문구
4283,2120062,분식전문점,16.5,19.5,0.0,1.0,84.0,4.0,2.0,13.0,3.0,4.0,3061.5,3583.0,1323236.0,663351.0,659886.0,93039.0,287166.0,217209,199403.0,205067.0,313294.125,209191,293124,203338.5,205087.5,242487.0,130875.0,188803,195272.0,196606.0,196565.0,201495.0,177045,167449,7930000.0,동대문구
4284,2120062,커피-음료,16.5,19.5,1.0,1.0,84.0,4.0,2.0,13.0,3.0,4.0,3061.5,3583.0,1323236.0,663351.0,659886.0,93039.0,287166.0,217209,199403.0,205067.0,313294.125,209191,293124,203338.5,205087.5,242487.0,130875.0,188803,195272.0,196606.0,196565.0,201495.0,177045,167449,6860000.0,동대문구
4286,2110437,분식전문점,4.0,5.0,1.0,0.0,18.0,1.0,0.0,1.0,0.0,2.0,116.0,1654.0,730419.0,335341.0,395078.0,96003.0,68875.0,81563,101641.0,134273.0,248065.0,135184,143466,99098.0,104827.0,152873.0,94972.0,102531,102609.0,102149.0,103468.0,102994.0,108314,108354,4450000.0,노원구
4288,2110437,제과점,0.0,1.0,0.0,0.0,18.0,1.0,0.0,1.0,0.0,2.0,116.0,1654.0,730419.0,335341.0,395078.0,96003.0,68875.0,81563,101641.0,134273.0,248065.0,135184,143466,99098.0,104827.0,152873.0,94972.0,102531,102609.0,102149.0,103468.0,102994.0,108314,108354,27356250.0,노원구
4291,2110437,한식음식점,16.0,16.0,0.0,1.0,18.0,1.0,0.0,1.0,0.0,2.0,116.0,1654.0,730419.0,335341.0,395078.0,96003.0,68875.0,81563,101641.0,134273.0,248065.0,135184,143466,99098.0,104827.0,152873.0,94972.0,102531,102609.0,102149.0,103468.0,102994.0,108314,108354,11440000.0,노원구
4292,2110437,치킨전문점,2.0,2.0,0.0,0.0,18.0,1.0,0.0,1.0,0.0,2.0,116.0,1654.0,730419.0,335341.0,395078.0,96003.0,68875.0,81563,101641.0,134273.0,248065.0,135184,143466,99098.0,104827.0,152873.0,94972.0,102531,102609.0,102149.0,103468.0,102994.0,108314,108354,6770000.0,노원구
4294,2110282,중식음식점,3.0,3.0,0.0,0.0,11.0,1.0,0.0,4.0,0.0,1.0,1403.0,1907.0,111043.0,59045.0,51999.0,14337.0,37436.0,14647,10416.0,11358.0,22850.0,29825,25766,13925.0,13395.0,15426.0,12707.0,15551,15689.0,15656.0,15732.0,15198.0,16054,17161,6750000.0,성북구
4297,2110282,제과점,1.0,2.0,0.0,0.0,11.0,1.0,0.0,4.0,0.0,1.0,1403.0,1907.0,111043.0,59045.0,51999.0,14337.0,37436.0,14647,10416.0,11358.0,22850.0,29825,25766,13925.0,13395.0,15426.0,12707.0,15551,15689.0,15656.0,15732.0,15198.0,16054,17161,27356250.0,성북구
4298,2110282,커피-음료,6.0,6.0,0.0,1.0,11.0,1.0,0.0,4.0,0.0,1.0,1403.0,1907.0,111043.0,59045.0,51999.0,14337.0,37436.0,14647,10416.0,11358.0,22850.0,29825,25766,13925.0,13395.0,15426.0,12707.0,15551,15689.0,15656.0,15732.0,15198.0,16054,17161,1040000.0,성북구
