,상권코드,시군구명,서비스업종명,월예상매출,점수
2807,2110731,금천구,육류판매,674.0,48.81
2808,2110731,금천구,중식음식점,834.0,52.96
2809,2110731,금천구,커피-음료,717.0,49.93
2810,2110731,금천구,제과점,564.0,45.95
2811,2110252,중랑구,중식음식점,1008.0,57.48
2812,2120175,서초구,양식음식점,1395.0,67.53
2813,2120175,서초구,치킨전문점,1331.0,65.87
2814,2120175,서초구,제과점,1194.0,62.31
2815,2120175,서초구,한식음식점,1459.0,69.19
2816,2120175,서초구,패스트푸드점,962.0,56.29
2817,2120175,서초구,호프-간이주점,1395.0,67.53
2818,2120175,서초구,육류판매,1395.0,67.53
2819,2110939,서초구,분식전문점,1326.0,65.74
2820,2110939,서초구,한식음식점,1520.0,70.78
2821,2110939,서초구,커피-음료,1348.0,66.31
2822,2110939,서초구,양식음식점,1512.0,70.57
2823,2110939,서초구,중식음식점,1326.0,65.74
2824,2110939,서초구,호프-간이주점,1512.0,70.57
2825,2130073,성동구,치킨전문점,539.0,45.3
2826,2130073,성동구,호프-간이주점,718.0,49.95
2827,2120007,종로구,일식음식점,1125.0,60.52
2828,2120007,종로구,치킨전문점,1019.0,57.77
2829,2120007,종로구,제과점,967.0,56.42
2830,2110256,중랑구,중식음식점,1339.0,66.08
2831,2110256,중랑구,제과점,1095.0,59.74
2832,2110256,중랑구,한식음식점,1536.0,71.19
2833,2111019,송파구,한식음식점,1720.0,75.97
2834,2130246,영등포구,한식음식점,1246.0,63.66
2835,2130246,영등포구,육류판매,1039.0,58.29
2836,2130246,영등포구,분식전문점,1039.0,58.29
2837,2110635,강서구,육류판매,560.0,45.85
2838,2110635,강서구,호프-간이주점,532.0,45.12
2839,2110635,강서구,커피-음료,606.0,47.04
2840,2110635,강서구,한식음식점,630.0,47.67
2841,2110635,강서구,일식음식점,765.0,51.17
2842,2110635,강서구,패스트푸드점,461.0,43.28
2843,2110842,동작구,분식전문점,858.0,53.59
2844,2110842,동작구,치킨전문점,648.0,48.13
2845,2110232,동대문구,패스트푸드점,682.0,49.02
2846,2120174,서초구,치킨전문점,585.0,46.5
2847,2120174,서초구,한식음식점,829.0,52.83
2848,2130276,관악구,한식음식점,672.0,48.76
2849,2110572,마포구,호프-간이주점,1884.0,80.23
2850,2110572,마포구,한식음식점,1840.0,79.09
2851,2110572,마포구,양식음식점,1949.0,81.92
2852,2110572,마포구,일식음식점,1918.0,81.11
2853,2110572,마포구,치킨전문점,1688.0,75.14
2854,2110572,마포구,분식전문점,1819.0,78.54
2855,2110572,마포구,중식음식점,1884.0,80.23
2856,2110735,금천구,한식음식점,1194.0,62.31
2857,2110520,서대문구,한식음식점,1239.0,63.48
2858,2110520,서대문구,일식음식점,1223.0,63.07
2859,2130245,영등포구,커피-음료,545.0,45.46
2860,2130245,영등포구,분식전문점,641.0,47.95
2861,2130100,동대문구,호프-간이주점,544.0,45.43
2862,2130100,동대문구,제과점,512.0,44.6
2863,2130100,동대문구,패스트푸드점,375.0,41.05
2864,2110967,강남구,패스트푸드점,642.0,47.98
2865,2110538,서대문구,중식음식점,599.0,46.86
2866,2120096,서대문구,양식음식점,1260.0,64.03
2867,2120096,서대문구,분식전문점,1442.0,68.75
2868,2120096,서대문구,커피-음료,1384.0,67.25
2869,2120096,서대문구,패스트푸드점,940.0,55.72
2870,2120096,서대문구,중식음식점,1373.0,66.96
2871,2120096,서대문구,호프-간이주점,1373.0,66.96
2872,2110925,서초구,커피-음료,996.0,57.17
2873,2110925,서초구,한식음식점,1199.0,62.44
2874,2110378,강북구,패스트푸드점,684.0,49.07
2875,2110378,강북구,한식음식점,1136.0,60.81
2876,2110378,강북구,육류판매,963.0,56.31
2877,2110378,강북구,커피-음료,887.0,54.34
2878,2130319,강동구,치킨전문점,841.0,53.15
2879,2130319,강동구,제과점,816.0,52.5
2880,2130319,강동구,한식음식점,1297.0,64.99
2881,2130319,강동구,호프-간이주점,1072.0,59.14
2882,2111078,강동구,치킨전문점,1186.0,62.1
2883,2111078,강동구,분식전문점,1472.0,69.53
2884,2130203,양천구,육류판매,591.0,46.65
2885,2130203,양천구,한식음식점,749.0,50.76
2886,2130203,양천구,분식전문점,588.0,46.58
2887,2130203,양천구,중식음식점,588.0,46.58
2888,2120219,강남구,제과점,724.0,50.11
2889,2120219,강남구,분식전문점,1099.0,59.85
